SampleID	SamplePoint	Lake	Run	Type	Surround	UpstreamBuild	UpstreamFarm	UpstreamPast	Size(stream)	Month	Coliforms	E. coli	Entero	C. perf	Area	Elevation	Ave.Depth	Max.Depth	Shoreline	Volume	WS.Area	WS.Ac.Area	WS.Frac.Water.Area	WS.Frac.Forest.Area	WS.Frac.Farm.Area	Turbidity	ColorVal	pH	Alkalinity	CODMn	Conductivity	TotalHardness	Cloride	Sulfate	Ammonium	Ammonium_nitrogen	Nitrate	Nitrate_nitrogen	Sodium	Potassium	Calcium	Iron	Magnesium	Manganese	Aluminium	Copper
Ok.ref.omg3	Oklangen-Ref	Oklangen	B	Ref	NA	NA	NA	NA	NA	3-May	14.5	6.3	1	4	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.9	60	6.9	6.3	10	6.5	0.87	9.7	5.5	0.017	0.013	1.9	0.43	6	0.76	4.3	0.19	1.2	0.013	0.14	0.00053
Ok.ref.omg4	Oklangen-Ref	Oklangen	B	Ref	NA	NA	NA	NA	NA	4-Aug	27.5	5.2	2	1	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.067	43	7.2	7.8	6.3	6.7	1.1	9.7	5.6	0	0	1.5	0.35	6.1	0.91	5.4	0.087	1.3	0.0075	0.078	0.00047
Sk1.29	Skarsjon-1	Skarsjon	A	Point	Forest	FALSE	FALSE	FALSE	Small	1-Oct	275.5	11.9	6.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk1.19	Skarsjon-1	Skarsjon	A	Point	Forest	FALSE	FALSE	FALSE	Small	2-FALSEv	2419.2	49.6	1	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.1.omg3	Skarsjon-1	Skarsjon	B	Point	Forest	FALSE	FALSE	FALSE	Small	3-May	2419.2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.1.omg4	Skarsjon-1	Skarsjon	B	Point	Forest	FALSE	FALSE	FALSE	Small	4-Aug	2419.2	60.9	59.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk2.19	Skarsjon-2	Skarsjon	A	Point	Forest	FALSE	FALSE	FALSE	Small	2-FALSEv	686.7	2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.2.omg3	Skarsjon-2	Skarsjon	B	Point	Forest	FALSE	FALSE	FALSE	Small	3-May	127.4	17.3	1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.2.omg4	Skarsjon-2	Skarsjon	B	Point	Forest	FALSE	FALSE	FALSE	Small	4-Aug	648.8	17.5	7.4	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk3.29	Skarsjon-3	Skarsjon	A	Point	Forest	FALSE	FALSE	FALSE	Small	1-Oct	325.5	5	1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3	60	7.4	18	13	12	1.6	19	11	0.012	0	0	0	12	1.3	6.4	0.5	3.2	0.08	0.024	0.00014
Sk3.19	Skarsjon-3	Skarsjon	A	Point	Forest	TRUE	FALSE	FALSE	NA	2-FALSEv	93.4	2	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.3.omg3	Skarsjon-3	Skarsjon	B	Point	Forest	TRUE	FALSE	FALSE	NA	3-May	41.3	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	88	7.1	11	9.7	10	1.3	16	12	0.017	0.013	0	0	11	1.1	4.8	0.51	2.6	0.14	0.048	0.00059
Sk.3.omg4	Skarsjon-3	Skarsjon	B	Point	Forest	TRUE	FALSE	FALSE	NA	4-Aug	372.5	6.3	47.3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.8	87	7.1	23	8	11	1.7	17	4.5	0	0	0	0	12	1.1	6.9	0.73	3.1	0.16	0.032	0.00027
Sk4.29	Skarsjon-4	Skarsjon	A	Point	Field/Forest	TRUE	FALSE	FALSE	Small	1-Oct	344.8	13.4	35.4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	24	6.3	0	5.4	7.4	0.66	14	7.7	0	0	0	0	8.6	0.52	2.2	0.16	1.5	0.021	0.093	0.00025
Sk4.19	Skarsjon-4	Skarsjon	A	Point	Field/Forest	TRUE	FALSE	FALSE	Small	2-FALSEv	191.8	5.2	52.9	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.4.omg3	Skarsjon-4	Skarsjon	B	Point	Field/Forest	TRUE	FALSE	FALSE	Small	3-May	32.3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39	27	6.3	0	4.8	7.1	0.62	14	6.3	0	0	0.8	0.18	8.4	0.54	2	0.11	1.5	0.022	0.1	0.00028
Sk.4.omg4	Skarsjon-4	Skarsjon	B	Point	Field/Forest	TRUE	FALSE	FALSE	Small	4-Aug	547.5	8.5	6.3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6	19	6.6	2.6	3.7	7	0.66	14	5.7	0	0	0	0	8.9	0.54	2.1	0.16	1.6	0.034	0.058	0.00029
SkIn.29	Skarsjon-In	Skarsjon	A	In	NA	NA	NA	NA	NA	1-Oct	25.6	3	3	1	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	1.1	16	7.1	7.5	3.5	7	0.82	14	6.1	0.026	0.02	0	0	8.5	0.8	3	0.034	1.7	0.026	0.011	0.00058
SkIn.19	Skarsjon-In	Skarsjon	A	In	NA	NA	NA	NA	NA	2-FALSEv	8.5	1	3.1	1	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sk.In.omg3	Skarsjon-In	Skarsjon	B	In	NA	NA	NA	NA	NA	3-May	4.1	1	1	2	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	0.76	19	7	7.2	3.6	8	0.82	14	6.6	0.032	0.025	0.75	0.17	8.9	0.76	2.9	0.039	1.8	0.013	0.022	0.0006
Sk.In.omg4	Skarsjon-In	Skarsjon	B	In	NA	NA	NA	NA	NA	4-Aug	2419.2	1	1	1	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	2	16	6.7	8.5	3.5	8.4	0.95	14	6.5	0.013	0.01	1	0.23	9.9	0.97	3.3	0.035	2.1	0.29	0.02	0.00075
SkRef.29	Skarsjon-Ref	Skarsjon	A	Ref	NA	NA	NA	NA	NA	1-Oct	12.1	1	5.2	3	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	0.92	17	7.1	6.8	3.5	7.9	0.86	14	6.1	0.018	0.014	0	0	9	0.82	3.1	0.067	1.8	0.062	0.021	0.00047
SkRef.19	Skarsjon-Ref	Skarsjon	A	Ref	NA	NA	NA	NA	NA	2-FALSEv	9.6	1	2	1	2.97	48	9.3	22	10.9	28.01	8.42	14.02	0.35	0.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
